Date(UTC),Avg Gas Price (Wei),Value (USD),Cost Per Gas Unit (USD),Deploy (off-chain),Deploy (onchain),grantRole,revokeRole,setBandwidth,initialize,input,initEvaluation,output (off-chain),output (on-chain),Avg Gas Price (Wei),Value (USD),Cost Per Gas Unit (USD),Deploy (off-chain),Deploy (onchain),grantRole,revokeRole,setBandwidth,initialize,input,initEvaluation,output (off-chain),output (on-chain)
2022-07-01,35552904252,1058.01,3.76E-05,86.0594700,104.1870866,1.9570503,1.1333498,1.1429041,2.7159772,4.8275136,1.1588154,10.6940754,13.3853017,149584257833,0.46,6.88E-08,0.1574264,0.1905868,0.0035800,0.0020732,0.0020907,0.0049683,0.0088308,0.0021198,0.0195624,0.0244854
2022-07-02,19367055591,1065.69,2.06E-05,47.2202521,57.1667533,1.0738203,0.6218614,0.6271038,1.4902384,2.6488242,0.6358342,5.8677672,7.3444250,108397769607,0.49,5.31E-08,0.1215207,0.1471179,0.0027635,0.0016004,0.0016138,0.0038351,0.0068167,0.0016363,0.0151006,0.0189008
2022-07-03,21176660058,1072.95,2.27E-05,51.9841277,62.9340944,1.1821541,0.6845987,0.6903700,1.6405830,2.9160543,0.6999812,6.4597444,8.0853767,109447979540,0.46,5.03E-08,0.1151859,0.1394487,0.0026194,0.0015169,0.0015297,0.0036352,0.0064614,0.0015510,0.0143134,0.0179155
2022-07-04,26864964814,1149.81,3.09E-05,70.6718026,85.5581520,1.6071244,0.9307038,0.9385498,2.2303531,3.9643410,0.9516161,8.7819456,10.9919733,123382474465,0.49,6.05E-08,0.1383195,0.1674552,0.0031455,0.0018216,0.0018369,0.0043653,0.0077590,0.0018625,0.0171881,0.0215136
2022-07-05,33127985821,1131.96,3.75E-05,85.7945940,103.8664170,1.9510268,1.1298616,1.1393865,2.7076179,4.8126554,1.1552488,10.6611609,13.3441041,122665112924,0.51,6.26E-08,0.1431281,0.1732767,0.0032548,0.0018849,0.0019008,0.0045170,0.0080288,0.0019273,0.0177856,0.0222615
2022-07-06,34027332279,1185.41,4.03E-05,92.2848265,111.7237558,2.0986191,1.2153339,1.2255794,2.9124451,5.1767255,1.2426416,11.4676618,14.3535656,116318276681,0.53,6.16E-08,0.1410450,0.1707548,0.0032075,0.0018575,0.0018731,0.0044513,0.0079119,0.0018992,0.0175268,0.0219375
2022-07-07,40761793061,1236.64,5.04E-05,115.3268370,139.6193487,2.6226099,1.5187829,1.5315865,3.6396350,6.4692692,1.5529089,14.3309492,17.9374159,100189362705,0.56,5.61E-08,0.1283641,0.1554027,0.0029191,0.0016905,0.0017047,0.0040511,0.0072006,0.0017285,0.0159510,0.0199652
2022-07-08,30264170187,1214,3.67E-05,84.0584289,101.7645450,1.9115453,1.1069974,1.1163295,2.6528257,4.7152650,1.1318708,10.4454185,13.0740688,121108057078,0.61,7.39E-08,0.1690194,0.2046218,0.0038436,0.0022259,0.0022446,0.0053341,0.0094812,0.0022759,0.0210030,0.0262885
2022-07-09,29505264147,1216.53,3.59E-05,82.1213616,99.4194528,1.8674951,1.0814874,1.0906045,2.5916932,4.6066051,1.1057877,10.2047112,12.7727861,90662987502,0.59,5.35E-08,0.1223815,0.1481600,0.0027830,0.0016117,0.0016253,0.0038623,0.0068650,0.0016479,0.0152076,0.0190347
2022-07-10,21041133292,1167.31,2.46E-05,56.1938962,68.0306110,1.2778870,0.7400388,0.7462774,1.7734404,3.1522016,0.7566669,6.9828662,8.7401451,95850974396,0.57,5.46E-08,0.1249986,0.1513284,0.0028426,0.0016462,0.0016600,0.0039449,0.0070118,0.0016831,0.0155328,0.0194417
2022-07-11,32310421336,1095.67,3.54E-05,80.9946258,98.0553807,1.8418723,1.0666490,1.0756410,2.5561342,4.5434007,1.0906158,10.0646987,12.5975387,115391570784,0.56,6.46E-08,0.1478414,0.1789827,0.0033620,0.0019470,0.0019634,0.0046658,0.0082932,0.0019907,0.0183713,0.0229946
2022-07-12,27739123781,1037.37,2.88E-05,65.8355145,79.7031455,1.4971439,0.8670129,0.8743219,2.0777232,3.6930490,0.8864941,8.1809702,10.2397589,107745916740,0.54,5.82E-08,0.1331154,0.1611549,0.0030271,0.0017530,0.0017678,0.0042010,0.0074671,0.0017924,0.0165414,0.0207042
2022-07-13,34350933701,1114.57,3.83E-05,87.5950786,106.0461567,1.9919711,1.1535729,1.1632976,2.7644399,4.9136537,1.1794928,10.8848960,13.6241433,215326152797,0.64,1.38E-07,0.3152903,0.3817032,0.0071699,0.0041522,0.0041872,0.0099503,0.0176862,0.0042455,0.0391792,0.0490388
2022-07-14,36726172033,1192.56,4.38E-05,100.2050742,121.3123291,2.2787309,1.3196387,1.3307634,3.1624026,5.6210125,1.3492900,12.4518617,15.5854452,199878514048,0.71,1.42E-07,0.3246820,0.3930733,0.0073835,0.0042759,0.0043119,0.0102467,0.0182131,0.0043719,0.0403462,0.0504996
2022-07-15,34767999413,1231.23,4.28E-05,97.9383317,118.5681186,2.2271836,1.2897871,1.3006602,3.0908658,5.4938594,1.3187677,12.1701877,15.2328863,168197564033,0.7,1.18E-07,0.2693714,0.3261120,0.0061257,0.0035475,0.0035774,0.0085012,0.0151104,0.0036272,0.0334731,0.0418968
2022-07-16,26046133732,1356.31,3.53E-05,80.8232000,97.8478456,1.8379740,1.0643914,1.0733644,2.5507241,4.5337846,1.0883075,10.0433967,12.5708759,196545039737,0.73,1.43E-07,0.3282606,0.3974056,0.0074649,0.0043230,0.0043594,0.0103597,0.0184138,0.0044201,0.0407909,0.0510562
2022-07-17,24906210932,1337.97,3.33E-05,76.2408710,92.3002922,1.7337687,1.0040450,1.0125092,2.4061090,4.2767384,1.0266052,9.4739792,11.8581611,130242582290,0.75,9.77E-08,0.2234848,0.2705598,0.0050822,0.0029432,0.0029680,0.0070530,0.0125364,0.0030093,0.0277711,0.0347598
2022-07-18,35135781862,1583.55,5.56E-05,127.2961339,154.1098653,2.8947998,1.6764111,1.6905435,4.0173777,7.1406879,1.7140789,15.8182994,19.7990664,254894477566,0.96,2.45E-07,0.5598420,0.6777674,0.0127312,0.0073728,0.0074349,0.0176682,0.0314044,0.0075384,0.0695681,0.0870753
2022-07-19,35586273832,1543.12,5.49E-05,125.6365574,152.1007146,2.8570599,1.6545555,1.6685037,3.9650026,7.0475938,1.6917322,15.6120741,19.5409433,266525951007,0.93,2.48E-07,0.5670956,0.6865489,0.0128961,0.0074683,0.0075313,0.0178971,0.0318113,0.0076361,0.0704694,0.0882035
2022-07-20,34127877817,1521.72,5.19E-05,118.8167977,143.8444367,2.7019740,1.5647435,1.5779345,3.7497757,6.6650388,1.5999022,14.7646249,18.4802287,173737163056,0.83,1.44E-07,0.3299170,0.3994108,0.0075025,0.0043448,0.0043814,0.0104120,0.0185067,0.0044424,0.0409967,0.0513138
2022-07-21,24472978230,1575.68,3.86E-05,88.2243887,106.8080250,2.0062820,1.1618605,1.1716551,2.7843005,4.9489549,1.1879667,10.9630964,13.7220234,150623261320,0.91,1.37E-07,0.3135936,0.3796492,0.0071313,0.0041298,0.0041646,0.0098968,0.0175911,0.0042226,0.0389683,0.0487749
2022-07-22,19100551087,1535.71,2.93E-05,67.1102600,81.2464040,1.5261325,0.8838005,0.8912511,2.1179532,3.7645560,0.9036589,8.3393749,10.4380271,109302631131,0.85,9.29E-08,0.2125609,0.2573348,0.0048338,0.0027993,0.0028229,0.0067083,0.0119236,0.0028622,0.0264136,0.0330608
2022-07-23,15792987351,1549.19,2.45E-05,55.9761190,67.7669611,1.2729346,0.7371708,0.7433852,1.7665675,3.1399854,0.7537345,6.9558044,8.7062730,88457391316,0.87,7.70E-08,0.1760707,0.2131584,0.0040040,0.0023187,0.0023383,0.0055567,0.0098767,0.0023708,0.0218792,0.0273852
2022-07-24,13689431825,1597.72,2.19E-05,50.0403002,60.5808180,1.1379501,0.6589997,0.6645552,1.5792372,2.8070151,0.6738070,6.2181971,7.7830425,109902692716,0.88,9.67E-08,0.2212712,0.2678798,0.0050319,0.0029140,0.0029386,0.0069832,0.0124122,0.0029795,0.0274960,0.0344155
2022-07-25,23754872466,1438.01,3.42E-05,78.1534979,94.6157960,1.7772632,1.0292331,1.0379097,2.4664702,4.3840274,1.0523592,9.7116494,12.1556425,151905325619,0.77,1.17E-07,0.2676070,0.3239759,0.0060856,0.0035242,0.0035539,0.0084455,0.0150114,0.0036034,0.0332539,0.0416224
2022-07-26,27645007068,1449.61,4.01E-05,91.6857185,110.9984514,2.0849950,1.2074440,1.2176230,2.8935377,5.1431185,1.2345745,11.3932144,14.2603830,160995866785,0.78,1.26E-07,0.2873050,0.3478231,0.0065335,0.0037836,0.0038155,0.0090671,0.0161164,0.0038686,0.0357016,0.0446861
2022-07-27,23574798199,1636.88,3.86E-05,88.2873817,106.8842870,2.0077145,1.1626901,1.1724917,2.7862885,4.9524885,1.1888149,10.9709242,13.7318210,176358273658,0.9,1.59E-07,0.3631384,0.4396301,0.0082580,0.0047823,0.0048226,0.0114604,0.0203703,0.0048898,0.0451250,0.0564809
2022-07-28,27005607346,1725.82,4.66E-05,106.6309449,129.0917489,2.4248595,1.4042634,1.4161015,3.3651986,5.9814723,1.4358162,13.2503648,16.5848961,179141069565,0.93,1.67E-07,0.3811640,0.4614527,0.0086679,0.0050197,0.0050620,0.0120293,0.0213814,0.0051325,0.0473649,0.0592845
2022-07-29,19415115915,1722.28,3.34E-05,76.5028400,92.6174425,1.7397261,1.0074949,1.0159883,2.4143765,4.2914336,1.0301327,9.5065324,11.8989066,151811013231,0.94,1.43E-07,0.3264863,0.3952575,0.0074245,0.0042996,0.0043359,0.0103037,0.0183143,0.0043962,0.0405704,0.0507802
2022-07-30,12277416442,1697.52,2.08E-05,47.6821356,57.7259282,1.0843239,0.6279441,0.6332378,1.5048151,2.6747336,0.6420536,5.9251626,7.4162642,108014068874,0.93,1.00E-07,0.2298249,0.2782354,0.0052264,0.0030267,0.0030522,0.0072531,0.0128920,0.0030947,0.0285589,0.0357459
