Contract;C;Deploy;grantRole;revokeRole;initialize;input;initEvaluation;output
StackelbergGameOffChain;1;2143654;52016;30118;70428;142026;30814;86182
StackelbergGameOffChain;2;2169252;52028;30130;70428;134426;30814;135717
StackelbergGameOffChain;3;2194862;52028;30130;70428;131502;30814;185240
StackelbergGameOffChain;4;2220472;52028;30130;70428;129955;30814;234776
StackelbergGameOffChain;5;2246082;52028;30130;70428;128997;30814;284323
StackelbergGameOffChain;6;2271692;52028;30130;70428;128343;30814;333859
StackelbergGameOffChain;7;2297302;52028;30130;70428;127872;30814;383394
StackelbergGameOffChain;8;2322912;52028;30130;70428;127515;30814;432930
StackelbergGameOffChain;9;2348522;52016;30118;70428;127235;30814;482466
StackelbergGameOffChain;10;2374120;52028;30130;70428;127009;30814;531989
StackelbergGameOnChain;1;2625591;52016;30140;70447;142047;30807;97469
StackelbergGameOnChain;2;2651189;52028;30152;70447;133497;30807;162055
StackelbergGameOnChain;3;2676799;52028;30152;70447;130647;30807;226652
StackelbergGameOnChain;4;2702409;52028;30152;70447;129222;30807;291239
StackelbergGameOnChain;5;2728019;52028;30152;70447;128367;30807;355847
StackelbergGameOnChain;6;2753629;52028;30152;70447;127795;30807;420425
StackelbergGameOnChain;7;2779239;52028;30152;70447;127388;30807;485024
StackelbergGameOnChain;8;2804849;52028;30152;70447;127083;30807;549634
StackelbergGameOnChain;9;2830459;52016;30140;70447;126846;30807;614224
StackelbergGameOnChain;10;2856057;52028;30152;70447;126656;30807;678835
